ID,Name,City,Country,Award,Source List,Cuisine\
32,Cascabel,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
33,Cayenna,Culiac\'e1n,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
34,Centro Castellano,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
35,Chino Poblano,Riviera Maya,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
36,Coward,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
37,Author's cuisine at Grand Velas,Riviera Maya,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
38,Codex at Conrad,Punta de Mita,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
39,Comal,Los Cabos,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
40,Stone shells,Ensenada,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
41,Countering,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
42,Criollo,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
43,Damiana,Guadalupe Valley,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
44,Dante Brasa and Fire,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
45,Deckmans in the Mogor,,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
46,Don Artemio,Saltillo,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
47,Dom,All Saints,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
48,El Jonuco,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
49,The Wall of the Poblanos,Puebla,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
50,Eloise,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
51,Emilio,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
52,Er rre un Bistr\'f3,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
53,Common Corner,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
54,Estoril,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
55,Fabia,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
56,Filigrana,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
57,Gaba,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
58,Galanga Thai House,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
59,Grana Sabores de Origin,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
60,Guzina Oaxaca,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
61,Ha,Riviera Maya,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
62,Hectors Kitchen,Punta de Mita,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
63,Bone,Guadalajara,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
64,Huset,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
65,Ic\'fa,Puerto Vallarta,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
66,Ixi-im,Merida,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
67,Jazamango,All Saints,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
68,Kakurega Omakase,Puerto Escondido,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
69,Kinich,Izamal,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
70,Koli Cooking of Origin,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
71,Kuuk,Merida,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
72,La Cabrera,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
73,La Docena,Guadalajara / Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
74,The Grotto,Teotihuac\'e1n,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
75,The Noria,Puebla,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
76,La Olla,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
77,La Taberna del Le\'f3n,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
78,Le Chique,Riviera Maya,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
79,Firefighter and Olive,Tlaxcala,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
80,Les Moustaches,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
81,Lina,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
82,Lorea,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
83,The Curricanes,Tampico,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
84,Los Danzantes,Oaxaca / Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
85,Lu Kitchen Michoacana,Morelia,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
86,Lumbre,San Jos\'e9 del Cabo,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
87,The Zur Sea,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
88,Mardel,Veracruz,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
89,Marea Mar Restaurant,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
90,Mar\'eda Dolores,Isla Mujeres,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
91,Mattea,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
92,Maximum,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
93,METXCALLI,Puerto Escondido,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
94,Mezcal,Los Cabos,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
95,Migrants,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
96,Moxi,San Miguel de Allende,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
97,NAO,Los Cabos,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
98,Namik,Veracruz,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
99,Navaja, Cuisine Filosa,Guadalajara,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
100,Nectar,Merida,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
101,NEMI,La Paz,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
102,Nicos,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
103,Octo,Guadalajara,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
104,Onora,Cancun,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
105,Palominos,Hermosillo,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
106,Pangea,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
107,Pargot,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
108,Paxia,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
109,PIEDRASANTA,Holbox,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
110,Pitiona Cocina de Autor,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
111,PLONK,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
112,Punta Corcho,Riviera Maya,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
113,Root,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
114,Ramona,Cancun,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
115,Rocasal,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
116,Romina,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
117,Salazar,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
118,Sarde,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
119,Sartoria,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
120,Sepia,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
121,Somsaa,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
122,Sonia,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
123,South 777,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
124,Sulawe,Chihuahua,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
125,Tatanka,La Paz,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
126,Taverna,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
127,The Palm,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
128,Tierra del Sol,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
129,Earth and Heaven,San Cristobal de las Casas,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
130,Tointoque,Puerto Vallarta,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
131,Tokoya,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
132,Tori Tori,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
133,Torre de Castilla,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
134,Vernacle,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
135,Villa Tor\'e9l,Ensenada,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
136,Come back Carmela,Campeche,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
137,Yoshimi,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
138,Zandunga Sabor Istme\'f1o,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
139,Zeru,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,}
