ID,Name,City,Country,Award,Source List,Cuisine\
63,Gessen,Osaka,Japan,Tabelog Silver,Tabelog Selection,Chinese\
64,GOURMANDISE,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
65,Gyoten,Fukuoka,Japan,Tabelog Silver,Tabelog Selection,Sushi\
66,HAGI,Fukushima,Japan,Tabelog Silver,Tabelog Selection,French\
67,HAJIME,Osaka,Japan,Tabelog Silver,Tabelog Selection,Innovative\
68,Hasegawa Minoru,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
69,Hashimoto,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
70,Hayashi,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
71,Hirasansou,Shiga,Japan,Tabelog Silver,Tabelog Selection,Japanese\
72,Hirokado,Oita,Japan,Tabelog Silver,Tabelog Selection,Japanese\
73,Hirosawa,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Chinese\
74,Hisada,Okayama,Japan,Tabelog Silver,Tabelog Selection,Sushi\
75,Hiyama,Saitama,Japan,Tabelog Silver,Tabelog Selection,Japanese\
76,Honkogetsu,Osaka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
77,Ichirin Hanare,Kanagawa,Japan,Tabelog Silver,Tabelog Selection,Chinese\
78,IIDASHOUTEN,Kanagawa,Japan,Tabelog Silver,Tabelog Selection,Ramen\
79,il AOYAMA,Aichi,Japan,Tabelog Silver,Tabelog Selection,Italian\
80,Inomata,Saitama,Japan,Tabelog Silver,Tabelog Selection,Sushi\
81,Ishikawa,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
82,Jambo Hanare,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
83,Jo\'ebl Robuchon,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
84,Jubei,Fukui,Japan,Tabelog Silver,Tabelog Selection,Sushi\
85,Kabuto,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Unagi\
86,kate cuore,Saga,Japan,Tabelog Silver,Tabelog Selection,Italian\
87,Kawashima,Ishikawa,Japan,Tabelog Silver,Tabelog Selection,Japanese\
88,Kenya,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
89,Kikuzushi,Fukuoka,Japan,Tabelog Silver,Tabelog Selection,Sushi\
90,Kimoto,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
91,Kitagawa,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
92,Kitajima,Kanagawa,Japan,Tabelog Silver,Tabelog Selection,Japanese\
93,Kiu,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Sushi\
94,Kiyama,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
95,Kizuna,Osaka,Japan,Tabelog Silver,Tabelog Selection,Sushi\
96,Kohaku,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
97,Komada,Mie,Japan,Tabelog Silver,Tabelog Selection,Sushi\
98,Korian,Shiga,Japan,Tabelog Silver,Tabelog Selection,Japanese\
99,Kotan,Fukuoka,Japan,Tabelog Silver,Tabelog Selection,Sushi\
100,Kuko,Nara,Japan,Tabelog Silver,Tabelog Selection,Chinese\
101,Kurumasushi,Ehime,Japan,Tabelog Silver,Tabelog Selection,Sushi\
102,Kusunoki,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Tempura\
103,Kyotenjin Noguchi,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
104,L'Effervescence,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
105,L'OSIER,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
106,Makimura,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
107,MAKITORI SHINKOBE,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakitori/Poultry\
108,Matsuyama,Fukuoka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
109,Meino,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
110,Mekumi,Ishikawa,Japan,Tabelog Silver,Tabelog Selection,Sushi\
111,Mikadoya,Shimane,Japan,Tabelog Silver,Tabelog Selection,Japanese\
112,Mita,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
113,Mitaka,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
114,Mitani,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
115,Miyakawa,Hokkaido,Japan,Tabelog Silver,Tabelog Selection,Sushi\
116,Miyoshi,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
117,Myojaku,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
118,Namba,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
119,NARISAWA,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
120,NH,Osaka,Japan,Tabelog Silver,Tabelog Selection,French\
121,Nikuya Tanaka Ginza,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
122,Nishibuchi Hanten,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Chinese\
123,NK,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
124,Noguchi,Osaka,Japan,Tabelog Silver,Tabelog Selection,Tonkatsu/Fried foods\
125,Nozawa,Aichi,Japan,Tabelog Silver,Tabelog Selection,Japanese\
126,Numata,Osaka,Japan,Tabelog Silver,Tabelog Selection,Tempura\
127,Ogata,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
128,Ogawa,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
129,Ogino,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
130,Oishi,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
131,PARCO FIERA,Hokkaido,Japan,Tabelog Silver,Tabelog Selection,Italian\
132,pesceco,Nagasaki,Japan,Tabelog Silver,Tabelog Selection,Innovative\
133,Quintessence,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
134,Raimon,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
135,Reminiscence,Aichi,Japan,Tabelog Silver,Tabelog Selection,French\
136,respiraci\'f3n,Ishikawa,Japan,Tabelog Silver,Tabelog Selection,Spanish\
137,Restaurant UOZEN,Niigata,Japan,Tabelog Silver,Tabelog Selection,French\
138,Ryujiro,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
139,SAGRA,Hokkaido,Japan,Tabelog Silver,Tabelog Selection,Italian\
140,Saika,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Chinese\
141,Sanwa,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Italian\
142,SASAKI,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
143,Sawada,Osaka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
144,Sawaishi,Kanagawa,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
145,Seirin,Shizuoka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
146,S\'c9ZANNE,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
147,Shimazu,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
148,Shimbashi Shimizu,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
149,Shinzenbi,Aichi,Japan,Tabelog Silver,Tabelog Selection,Chinese\
150,SHUN,Shizuoka,Japan,Tabelog Silver,Tabelog Selection,Unagi\
151,Shunseki Suzue,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
152,Shunsuke,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
153,Sojiki Nakahigashi,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
154,Sonoji,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Tempura\
155,Suetomi,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
156,SUGALABO,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
157,Sushi Josuke,Hyogo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
158,Sushikoma,Akita,Japan,Tabelog Silver,Tabelog Selection,Sushi\
159,Sushisho,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
160,Sushisho Nomura,Kagoshima,Japan,Tabelog Silver,Tabelog Selection,Sushi\
161,Sutaminaen,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
162,TACUBO,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Italian\
163,Takamitsu,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
164,Takamura,Akita,Japan,Tabelog Silver,Tabelog Selection,Japanese\
165,Takiya,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Tempura\
166,Tanaka Yoshihide,Osaka,Japan,Tabelog Silver,Tabelog Selection,Chinese\
167,TOBIUME,Fukuoka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
168,Tokiwa,Niigata,Japan,Tabelog Silver,Tabelog Selection,Sushi\
169,Tokuhamotonari,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
170,Tokuyamazushi,Shiga,Japan,Tabelog Silver,Tabelog Selection,Japanese\
171,Tomoei,Kanagawa,Japan,Tabelog Silver,Tabelog Selection,Unagi\
172,Torishiki,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakitori/Poultry\
173,Torisho Ishii,Osaka,Japan,Tabelog Silver,Tabelog Selection,Yakitori/Poultry\
174,Toshi,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Chinese\
175,TSUSHIMI,Yamanashi,Japan,Tabelog Silver,Tabelog Selection,French\
176,Uemura,Hyogo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
177,Uomasa,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Unagi\
178,Ushimaru,Chiba,Japan,Tabelog Silver,Tabelog Selection,Italian\
179,WASA,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Chinese\
180,Yamagishi,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
181,Yamaguchi,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Italian\
182,Yamazaki,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
183,Yanagiya,Gifu,Japan,Tabelog Silver,Tabelog Selection,Japanese\
184,Yonemasu,Osaka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
185,Yoshihisa,Kyoto,Japan,Tabelog Silver,Tabelog Selection,Japanese\
186,\uc0\u964 \u961 \u949 \u8150 \u962 ,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
187,4000 Chinese Restaurant,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
188,400\uc0\u8451  PIZZA,Okayama,Japan,Tabelog Bronze,Tabelog Selection,Italian\
189,6,Okinawa,Japan,Tabelog Bronze,Tabelog Selection,Innovative\
190,ad hoc,Osaka,Japan,Tabelog Bronze,Tabelog Selection,French\
191,affetto akita,Akita,Japan,Tabelog Bronze,Tabelog Selection,Italian\
192,agnel d'or,Osaka,Japan,Tabelog Bronze,Tabelog Selection,French\
193,Aji Arai,Oita,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
194,Ajiman,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Seafood\
195,Ajiyuki,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
196,Akakichi,Ehime,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
197,Akasaka Kikunoi,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
198,Akasaka Kitafuku,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Seafood\
199,aki nagao,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,French\
200,Alarde,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Spanish\
201,Amaki,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
202,Amandier,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,French\
203,Amegen,Saga,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
204,Ankyu,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
205,AO,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
206,Aoki,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
207,Araki,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,Tempura\
208,Arata,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
209,Arima,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
210,aru,Aichi,Japan,Tabelog Bronze,Tabelog Selection,French\
211,Asago,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Soba\
212,ASAHINA Gastronome,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,French\
213,AUBE,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
214,Auberge eaufeu,Ishikawa,Japan,Tabelog Bronze,Tabelog Selection,Innovative\
215,AZUR et MASA UEKI,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,French\
216,BAMBOU,Chiba,Japan,Tabelog Bronze,Tabelog Selection,Tonkatsu/Fried foods\
217,Bekk,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Italian\
218,Bleston Court Yukawatan,Nagano,Japan,Tabelog Bronze,Tabelog Selection,French\
219,BOTANI:CURRY,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Asian/Ethnic/Curry\
220,Caravan,Saga,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
221,Casa del cibo,Aomori,Japan,Tabelog Bronze,Tabelog Selection,Italian\
222,ca\'92enne,Nagano,Japan,Tabelog Bronze,Tabelog Selection,Italian\
223,cenci,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Italian\
224,c\'e9pages,Gunma,Japan,Tabelog Bronze,Tabelog Selection,French\
225,CERCA TROVA,Miyazaki,Japan,Tabelog Bronze,Tabelog Selection,Italian\
226,Chiba Takaoka,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
227,Chiso Nakamura,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
228,C\'d4TE D'OR,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,French\
229,CUCCAGNA,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Italian\
230,Cucina Italiana Gallura,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Italian\
231,Daichan,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
232,Daiichi,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Seafood\
233,Daimon,Toyama,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
234,Doyama,Nagasaki,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
235,\'c9dition Koji Shimomura,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,French\
236,Edomae Shinsaku,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Tempura\
237,Eigetsu,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
238,Eiki,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Yakitori/Poultry\
239,Eizan,Hiroshima,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
240,En,Okayama,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
241,Endo,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
242,Enoteca La Ricolma,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,Italian\
243,entre nous,Hyogo,Japan,Tabelog Bronze,Tabelog Selection,French\
244,Eragon,Hyogo,Japan,Tabelog Bronze,Tabelog Selection,Yakitori/Poultry\
245,f,Akita,Japan,Tabelog Bronze,Tabelog Selection,Italian\
246,Fen\'eatre,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,French\
247,Fujisawa,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
248,Fujiyama,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
249,Fukamachi,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Tempura\
250,Fukunaga,Shiga,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
251,Funachef,Osaka,Japan,Tabelog Bronze,Tabelog Selection,French\
252,fuxing,Hyogo,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
253,Gahojin,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
254,Gamou,Kagawa,Japan,Tabelog Bronze,Tabelog Selection,Udon\
255,GapricE,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Italian\
256,Gatagataya,Kanagawa,Japan,Tabelog Bronze,Tabelog Selection,Creative\
257,Ginza Kitafuku,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Seafood\
258,Gion Endo,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
259,giueme,Akita,Japan,Tabelog Bronze,Tabelog Selection,Italian\
260,Goichi Higobashi,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Yakitori/Poultry\
261,Guchokuni,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
262,gucite,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Italian\
263,Guu,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
264,Hachisen,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
265,Hakkoku,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
266,Hakuun,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
267,Hanaichi,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
268,Haramasa,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
269,Haru,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
270,Harutaka,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
271,Hashiguchi,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
272,Hashimoto,Kumamoto,Japan,Tabelog Bronze,Tabelog Selection,Other\
273,Hashimotoya,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Asian/Ethnic/Curry\
274,Hassun,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
275,Hasunomi,Okayama,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
276,Hato,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
277,Hatsunezushi,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
278,Hide,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Izakaya\
279,Hidetaka,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
280,Higashiyama Ogata,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
281,Higebozu,Hokkaido,Japan,Tabelog Bronze,Tabelog Selection,Yakitori/Poultry\
282,Higuchi,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
283,Hijikata,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
284,Hijikata,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
285,Hinode,Mie,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
286,Hinotori,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
287,hiro,Gifu,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
288,HIRO NAGOYA,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
289,Hirosaku,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
290,Hirovanna,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Italian\
291,Hitotsu,Miyazaki,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
292,HOMMAGE,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,French\
293,h\'f4tel de yoshino,Wakayama,Japan,Tabelog Bronze,Tabelog Selection,French\
294,Ichikawa,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
295,Ichitaka,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
296,Ifuki,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
297,IL GARAGE,Kyoto,Japan,Tabelog Bronze,Tabelog Selection,Italian\
298,IL NODO,Kanagawa,Japan,Tabelog Bronze,Tabelog Selection,Italian\
299,Imai,Hyogo,Japan,Tabelog Bronze,Tabelog Selection,Italian\
300,IMAISHIHANTEN SUZUKA,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
301,Imoto,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
302,Ino,Ehime,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
303,Installation Table ENSO L'asymetrie du calme,Ishikawa,Japan,Tabelog Bronze,Tabelog Selection,French\
304,Ishibashi,Fukuoka,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
305,Ishimaru,Saitama,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
306,Isoda,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
307,Isshinzushi Koyo,Miyazaki,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
308,Ito,Fukushima,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
309,Ito,Oita,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
310,Itto,Fukui,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
311,iwanaga,Miyazaki,Japan,Tabelog Bronze,Tabelog Selection,Other\
312,Iyuki,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
313,Izumo,Aichi,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
314,Jambo Shinozaki Honten,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
315,Jinsei,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Sushi\
316,Jiyu San,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Soba\
317,JO,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Yakiniku/Meat dishes\
318,JOTAKI,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Chinese\
319,Kadowaki,Tokyo,Japan,Tabelog Bronze,Tabelog Selection,Japanese\
320,KAHALA,Osaka,Japan,Tabelog Bronze,Tabelog Selection,Creative\
