ID,Name,City,Country,Award,Source List,Cuisine\
35,Fordwich Arms,Canterbury,United Kingdom,N/A,Hardens Top 100,\
36,Meadowsweet,Holt,United Kingdom,N/A,Hardens Top 100,\
37,Old Stamp House,Ambleside,United Kingdom,N/A,Hardens Top 100,\
38,Restaurant Sat Bains,Nottingham,United Kingdom,N/A,Hardens Top 100,\
39,The Sportsman,Whitstable,United Kingdom,N/A,Hardens Top 100,\
40,Cail Bruich,Glasgow,United Kingdom,N/A,Hardens Top 100,\
41,Outlaw's Fish Kitchen,Port Isaac,United Kingdom,N/A,Hardens Top 100,\
42,Furna,Brighton,United Kingdom,N/A,Hardens Top 100,\
43,UNALOME by Graeme Cheevers,Glasgow,United Kingdom,N/A,Hardens Top 100,\
44,Kitchen Table,London,United Kingdom,N/A,Hardens Top 100,\
45,The Water House Project,London,United Kingdom,N/A,Hardens Top 100,\
46,Etch,Hove,United Kingdom,N/A,Hardens Top 100,\
47,Hambleton Hall,Oakham,United Kingdom,N/A,Hardens Top 100,\
48,Bohemia,Jersey,United Kingdom,N/A,Hardens Top 100,\
49,The Little Chartroom,Edinburgh,United Kingdom,N/A,Hardens Top 100,\
50,Verveine,Milford On Sea,United Kingdom,N/A,Hardens Top 100,\
51,Ormer Mayfair,London,United Kingdom,N/A,Hardens Top 100,\
52,The Muddlers Club,Belfast,United Kingdom,N/A,Hardens Top 100,\
53,Wilsons,Bristol,United Kingdom,N/A,Hardens Top 100,\
54,Lake Road Kitchen,Ambleside,United Kingdom,N/A,Hardens Top 100,\
55,Brooklands by Claude Bosi at The Peninsula,London,United Kingdom,N/A,Hardens Top 100,\
56,Henrock at Linthwaite House,Windermere,United Kingdom,N/A,Hardens Top 100,\
57,The Dining Room - Japanese Grill at Beaverbrook,Leatherhead,United Kingdom,N/A,Hardens Top 100,\
58,The Neptune Restaurant with Rooms,Hunstanton,United Kingdom,N/A,Hardens Top 100,\
59,The Nut Tree Inn,Murcott,United Kingdom,N/A,Hardens Top 100,\
60,Paris House,Woburn,United Kingdom,N/A,Hardens Top 100,\
61,Fraiche,Oswestry,United Kingdom,N/A,Hardens Top 100,\
62,Timberyard,Edinburgh,United Kingdom,N/A,Hardens Top 100,\
63,Upstairs by Tom Shepherd,Lichfield,United Kingdom,N/A,Hardens Top 100,\
64,Gwen,Machynlleth,United Kingdom,N/A,Hardens Top 100,\
65,Heft,Grange-over-Sands,United Kingdom,N/A,Hardens Top 100,\
66,Le Champignon Sauvage,Cheltenham,United Kingdom,N/A,Hardens Top 100,\
67,Lyle's,London,United Kingdom,N/A,Hardens Top 100,\
68,Chez Bruce,London,United Kingdom,N/A,Hardens Top 100,\
69,The Counter by Robin Read,Royal Tunbridge Wells,United Kingdom,N/A,Hardens Top 100,\
70,Midsummer House,Cambridge,United Kingdom,N/A,Hardens Top 100,\
71,The Ritz Restaurant,London,United Kingdom,N/A,Hardens Top 100,\
72,The Fat Duck,Bray,United Kingdom,N/A,Hardens Top 100,\
73,L'Enclume,Cartmel,United Kingdom,N/A,Hardens Top 100,\
74,Moor Hall,Ormskirk,United Kingdom,N/A,Hardens Top 100,\
75,The Little Fish Market,Hove,United Kingdom,N/A,Hardens Top 100,\
76,Roots,York,United Kingdom,N/A,Hardens Top 100,\
77,Yauatcha Soho,London,United Kingdom,N/A,Hardens Top 100,\
78,Joro,Sheffield,United Kingdom,N/A,Hardens Top 100,\
79,The Artichoke,Amersham,United Kingdom,N/A,Hardens Top 100,\
80,Min Jiang at the Royal Garden Hotel,London,United Kingdom,N/A,Hardens Top 100,\
81,The Kitchin,Edinburgh,United Kingdom,N/A,Hardens Top 100,\
82,Trinity,London,United Kingdom,N/A,Hardens Top 100,\
83,Brat,London,United Kingdom,N/A,Hardens Top 100,\
84,Ugly Butterfly by Adam Handling at the Carbis Bay Hotel,Saint Ives,United Kingdom,N/A,Hardens Top 100,\
85,Studio Frantzen at Harrods,London,United Kingdom,N/A,Hardens Top 100,\
86,Counter 71,London,United Kingdom,N/A,Hardens Top 100,\
87,Pearly Queen,London,United Kingdom,N/A,Hardens Top 100,\
88,The Whitebrook,Monmouth,United Kingdom,N/A,Hardens Top 100,\
89,Otto's French Restaurant,London,United Kingdom,N/A,Hardens Top 100,\
90,The Wilderness,Birmingham,United Kingdom,N/A,Hardens Top 100,\
91,Crocadon,St Mellion,United Kingdom,N/A,Hardens Top 100,\
92,The Dysart Petersham,Richmond,United Kingdom,N/A,Hardens Top 100,\
93,Ynyshir,Machynlleth,United Kingdom,N/A,Hardens Top 100,\
94,Hide and Fox,Hythe,United Kingdom,N/A,Hardens Top 100,\
95,BiBi,London,United Kingdom,N/A,Hardens Top 100,\
96,Myse,York,United Kingdom,N/A,Hardens Top 100,\
97,Latymer at Pennyhill Park,Bagshot,United Kingdom,N/A,Hardens Top 100,\
98,Sola,London,United Kingdom,N/A,Hardens Top 100,\
99,Gravetye Manor,East Grinstead,United Kingdom,N/A,Hardens Top 100,\
100,Frog by Adam Handling,London,United Kingdom,N/A,Hardens Top 100,}
