17,Smyth,Chicago,Illinois,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive American\
18,Sushi Sho,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
19,Sushi Yoshizumi,San Mateo,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
20,Yoshino,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
21,Addison,San Diego,California,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,French\
22,Alo restaurant,Toronto,Ontario,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,French - Asian\
23,Aska,Brooklyn,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2025,New Nordic\
24,Atera,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2025,New Nordic\
25,Atelier Crenn,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,Modern French\
26,Bavel,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Israeli\
27,Blackberry Farm,Walland,Tennessee,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
28,Blanca,Brooklyn,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2025,Progressive American\
29,Bresca,Washington, DC Metro,District of Columbia,OAD North America Best Restaurants,2022,2023,2024,2025,Modern French\
30,Californios,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Californian\
31,Canlis,Seattle,Washington,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
32,Commis,Oakland,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive American\
33,Contramar,Mexico City,Mexico,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Modern Mexican\
34,Cote,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Korean Steakhouse\
35,Daniel,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
36,Eden Hill,Seattle,Washington,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,New American\
37,Elements,Princeton,New Jersey,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive American\
38,Eleven Madison Park,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
39,\'e9 by Jos\'e9 Andr\'e9s,Las Vegas,Nevada,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Molecular - Spanish\
40,Ever Restaurant,Chicago,Illinois,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
41,French Laundry,Yountville,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
42,Frasca Food & Wine,Boulder,Colorado,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Italian\
43,Frenchette,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,French - Brasserie\
44,Gabriel Kreuther,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
45,Gary Danko,San Francisco,California,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
46,Gramercy Tavern,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
47,Gwen,Hollywood,California,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,New American\
48,Guy Savoy,Las Vegas,Nevada,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
49,Hashimoto,Toronto,Ontario,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Japanese\
50,Hawksworth,Vancouver,British Columbia,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Seasonal Canadian\
51,Holbox,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican Seafood\
52,Indian Accent,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Indian\
53,Inn at Little Washington,Washington,Virginia,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
54,Jean-Georges,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
55,Jeong,Chicago,Illinois,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,New Korean\
56,Joel Robuchon at The Mansion,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
57,Joe Beef,Montreal,Quebec,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Canadian - French\
58,Jua,New York,New York,OAD North America Best Restaurants,2021,2022,2023,2024,2025,Korean\
59,Jungsik,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive Korean\
60,Kabuto,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
61,Kajitsu,Manhattan,New York,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Japanese\
62,Kanoyama,New York,New York,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Sushi\
63,Kappo Masa,New York,New York,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Japanese\
64,Kenzo,Napa,California,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Japanese\
65,Kinjiro,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
66,Kiriko,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,Sushi\
67,Kochi,Manhattan,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Korean Skewers\
68,Kono,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Yakitori\
69,Kumiko,Chicago,Illinois,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Japanese\
70,Kuruma Zushi,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
71,Ky\uc0\u333 ten,Chicago,Illinois,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Sushi\
72,Langdon Hall,Cambridge,Ontario,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Canadian\
73,Laurel,Philadelphia,Pennsylvania,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
74,Lazy Bear,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive American\
75,Le Bernardin,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
76,Le Cirque,Las Vegas,Nevada,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
77,Le Coucou,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
78,Lorea,Mexico City,Mexico,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Modern Mexican\
79,Luthun,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Progressive American\
80,Mama\'92s Fish House,Paia,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,New Hawaiian\
81,Masa,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
82,Masseria,Washington, D.C.,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Italian\
83,Matador Room,Miami Beach,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Latin\
84,Matsuhisa,West Hollywood,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi - Japanese\
85,Marea,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Italian\
86,Menton,Boston,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
87,Merotoro,Mexico City,Mexico,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Modern Mexican\
88,Momofuku Ko,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive\
89,Mourad,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Moroccan\
90,Musket Room,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Globally Inspired\
91,N\'92Naka,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Japanese\
92,NAOE,Miami,Florida,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
93,Next,Chicago,Illinois,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Eclectic\
94,Nightbird,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
95,Nozawa Bar,Beverly Hills,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
96,O Ya,Boston,New England,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Japanese\
97,Odo,New York,United States,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Japanese\
98,Ohshima,Orange,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi - Japanese\
99,Opus Restaurant,Toronto,Canada,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Canadian\
100,Orsa & Winston,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Californian\
101,Otium,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
102,Pineapples & Pearls,Washington, D.C.,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive American\
103,Providence,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Contemporary Seafood\
104,Prot\'e9g\'e9,Palo Alto,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
105,Q Sushi,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
106,Quince,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Italian\
107,Quintonil,Mexico City,Mexico,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Modern Mexican\
108,Rasika,Washington, D.C.,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Indian\
109,Redbird,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
110,Rezd\'f4ra,New York,New York,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Italian\
111,Roe,Portland,Oregon,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Modern Seafood\
112,Sanford,Milwaukee,Wisconsin,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
113,Sasabune,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
114,Sawa Sushi,Sunnyvale,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
115,Scaramouche,Toronto,Ontario,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,French\
116,Schwa,Chicago,Illinois,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive American\
117,Secchu Yokota,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Tempura\
118,Senia,Honolulu,Hawaii,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New Hawaiian\
119,Shibumi,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Japanese Small Plates\
120,Shuko,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi - Japanese\
121,Sons & Daughters,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
122,Spago,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Californian - French\
123,Spago,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Californian\
124,Stages at One Washington,Dover,New Hampshire,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive American\
125,Sushi Kaji,Toronto,Ontario,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
126,Sushi Nakazawa,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
127,Sushi Noz,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,Sushi\
128,Sushi Tsujita,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
129,Sushi Yasuda,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
130,Tanoshi Sushi,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
131,Tei-An,Dallas,Texas,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Izakaya\
132,Tempura Endo,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Tempura\
133,Tempura Matsui,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Tempura\
134,The Modern,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
135,ToJo\'92s,Vancouver,British Columbia,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,American\
136,Totoraku,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Yakiniku\
137,Uchi,Austin,Texas,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi - Japanese\
138,Uni,Boston,New England,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Japanese\
139,Union Square Caf\'e9,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,New American\
140,Ushiwakamaru,New York,New York,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
141,Vespertine LA,Culver City,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Progressive\
142,Wataru,Seattle,Washington,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
143,Yakiniku Yazawa,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Yakiniku\
144,Yamakase,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
145,Yasu,Toronto,Ontario,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
146,Yui Edomae Sushi,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Sushi\
147,15 East,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Sushi - Japanese\
148,Aburiya Raku,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Japanese\
149,Acquerello,San Francisco,California,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Italian - French\
150,Actinolite,Toronto,Canada,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive Canadian\
151,ACRU,New York,New York,OAD North America Best Restaurants,2024,2025,Modern American\
152,Ai Fiori,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Italian\
153,Alcalde,Guadalajara,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican\
154,Alfonsina,San Juan Bautista la Raya,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican\
155,Alo Bar Yorkville,Toronto,Ontario,OAD North America Best Restaurants,2022,2023,2024,2025,French - Asian\
156,Amangani Grill,Jackson,Wyoming,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
157,Angler,San Francisco,California,OAD North America Best Restaurants,2019,2020,2021,2022,2024,Seafood\
158,Angler Los Angeles,Los Angeles,United States,OAD North America Best Restaurants,2020,2021,2022,Seafood (Reopened Jan 2023)\
159,Ardent,Milwaukee,United States,OAD North America Best Restaurants,2019,2020,2022,2024,2025,Progressive American\
160,Asanebo,Studio City,California,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Sushi\
161,Atelier,Ottawa,Ontario,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive Canadian\
162,Atelier de Robuchon,Las Vegas,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,French\
163,Atoboy,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Modern Korean\
164,August,New Orleans,Louisiana,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
165,Au Pied de Cochon,Montreal,Quebec,OAD North America Best Restaurants,2022,2023,2024,2025,French Bistro\
166,Babbo,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Italian\
167,Bardot Brasserie,Las Vegas,Nevada,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,French\
168,Barley Swine,Austin,Texas,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
169,Bar Masa,New York,United States,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Sushi\
170,Bar Crenn,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,French\
171,Bastion,Nashville,Tennessee,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive American\
172,Bazaar Meat by Jose Andres,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
173,Benno,Manhattan,United States,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Italian\
174,Binkley\'92s,Phoenix,Arizona,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
175,Birdsong,San Francisco,California,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive American\
176,Blue Hill,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive American\
177,Boka,Chicago,Illinois,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
178,Boulevard,San Francisco,California,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Californian\
179,Buca Yorkville,Toronto,Canada,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Italian\
180,Caf\'e9 Juanita,Seattle,Washington,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Italian\
181,Carbone,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
182,Casa Oaxaca,Oaxaca,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Oaxacan\
183,Chef Mavro,Honolulu,United States,OAD North America Best Restaurants,2020,2021,2022,French\
184,Chinese Tuxedo,New York,New York,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Modern Chinese\
185,Ci Siamo,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
186,Claro,Brooklyn,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican\
187,Clocktower,New York,United States,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
188,Commander\'92s Palace,New Orleans,Louisiana,OAD North America Best Restaurants,2022,2023,2024,2025,Creole\
189,Compere Lapin,New Orleans,Louisiana,OAD North America Best Restaurants,2022,2023,2024,2025,New American - Caribbean\
190,Cook\'92s House,Traverse City,Michigan,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
191,Coquette,New Orleans,Louisiana,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
192,Cotogna,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
193,Dhamaka,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Indian\
194,Dirt Candy,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Vegetarian\
195,Edulis,Toronto,Canada,OAD North America Best Restaurants,2019,2020,2022,2023,2024,Canadian\
196,Eigensinn Farm,Singhampton,Ontario,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,Progressive Canadian\
197,Elske,Chicago,Illinois,OAD North America Best Restaurants,2019,2020,2022,2023,2024,2025,New American\
198,EN Japanese Brasserie,New York,United States,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Japanese\
199,Estiatorio Milos,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Greek Seafood\
200,Felix Trattoria,Venice,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
201,Five Acres,New York,New York,OAD North America Best Restaurants,2023,2024,2025,New American\
202,Flour + Water,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
203,Gari,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
204,Genwa Korean BBQ,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Korean Barbecue\
205,Giorgio Baldi,Santa Monica,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
206,Guthrie's,Nashville,Tennessee,OAD North America Best Restaurants,2023,2024,2025,Progressive American\
207,HaiSous,Chicago,Illinois,OAD North America Best Restaurants,2022,2023,2024,2025,Vietnamese\
208,Hillstone,Coral Gables,Florida,OAD North America Best Restaurants,2022,2023,2024,2025,American\
209,Hirohisa,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
210,Huso,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,French - Caviar\
211,Hyun,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Korean BBQ\
212,Il Mulino New York,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
213,Jaya,Miami,Florida,OAD North America Best Restaurants,2022,2023,2024,2025,Thai\
214,Jean Georges Steakhouse,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
215,Jean-Georges Philadelphia,Philadelphia,Pennsylvania,OAD North America Best Restaurants,2022,2023,2024,2025,French\
216,Jeune et Jolie,Carlsbad,California,OAD North America Best Restaurants,2022,2023,2024,2025,French\
217,Joomak Banjum,Manhattan,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Asian\
218,Juniper & Ivy,San Diego,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
219,Kitchen Table Tulum,Tulum,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican\
220,Koloman,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Viennese\
221,Komodo,Miami,Florida,OAD North America Best Restaurants,2023,2024,2025,Japanese\
222,Kuuk,M\'e9rida,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican\
223,L\'92Abattoir,Vancouver,British Columbia,OAD North America Best Restaurants,2022,2023,2024,2025,French\
224,La Mer,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,French\
225,La Petite Grocery,New Orleans,Louisiana,OAD North America Best Restaurants,2022,2023,2024,2025,American Regional - Creole\
226,Lech e de Tigre,Hamburg,Germany,OAD North America Best Restaurants,2022,2023,2024,2025,French\
227,Les Nomades,Chicago,Illinois,OAD North America Best Restaurants,2024,2025,French\
228,Locanda Verde,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
229,Lorenzillo's,Canc\'fan,Mexico,OAD North America Best Restaurants,2024,2025,Seafood\
230,Los Danzantes,Mexico City,Mexico,OAD North America Best Restaurants,2024,2025,Mexican\
231,Los Fuegos,Miami Beach,Florida,OAD North America Best Restaurants,2023,2024,2025,Argentinian\
232,Makoto,Miami Beach,Florida,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,Japanese\
233,Mastro\'92s Steakhouse,Beverly Hills,California,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
234,Matsumoto,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
235,Matsuhisa Aspen,Aspen,Colorado,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi - Japanese\
236,Mastro\'92s Ocean Club,Costa Mesa,California,OAD North America Best Restaurants,2022,2023,2024,2025,Seafood\
237,Mastro\'92s Steak House,Scottsdale,Arizona,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
238,Mizumi,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
